DATE_READING,YEAR,MONTH,DAY,AREA_NUMBER,ELNINO,LANINA,TOTAL_CAPTURE
20150324,2015,3,24,1,0,0,0
20140113,2014,1,13,1,0,0,0
20161128,2016,11,28,1,0,0,0
20160430,2016,4,30,2,0,0,0
20171211,2017,12,11,2,0,1,0
20070402,2007,4,2,2,0,0,0
20140930,2014,9,30,1,0,0,0
20151211,2015,12,11,2,1,0,0
20181018,2018,10,18,3,0,0,0
20080430,2008,4,30,3,0,0,0
20101130,2010,11,30,4,0,1,0
20160329,2016,3,29,4,1,0,0
20170207,2017,2,7,4,0,0,0
20120107,2012,1,7,1,0,1,0
20080503,2008,5,3,4,0,0,0
20161026,2016,10,26,1,0,0,0
20070501,2007,5,1,1,0,0,0
20130903,2013,9,3,1,0,0,1
20140319,2014,3,19,2,0,0,1
20131018,2013,10,18,4,0,0,0
20131202,2013,12,2,1,0,0,0
20140121,2014,1,21,2,0,0,0
20080831,2008,8,31,1,0,0,0
20181021,2018,10,21,2,0,0,0
20110808,2011,8,8,1,0,0,0
20071030,2007,10,30,1,0,1,0
20140522,2014,5,22,4,0,0,0
20151122,2015,11,22,3,1,0,0
20080126,2008,1,26,3,0,1,0
20171221,2017,12,21,2,0,1,0
20100331,2010,3,31,1,1,0,0
20170921,2017,9,21,3,0,0,0
20060311,2006,3,11,1,0,0,0
20061005,2006,10,5,1,1,0,0
20060608,2006,6,8,2,0,0,0
20110910,2011,9,10,4,0,0,0
20081109,2008,11,9,1,0,0,0
20061017,2006,10,17,3,1,0,0
20190317,2019,3,17,4,0,0,0
20200702,2020,7,2,3,0,0,0
20130928,2013,9,28,4,0,0,0
20121205,2012,12,5,2,0,0,0
20090322,2009,3,22,3,0,0,0
20130627,2013,6,27,4,0,0,0
20091212,2009,12,12,2,1,0,0
20081205,2008,12,5,3,0,1,2
20170521,2017,5,21,2,0,0,0
20060630,2006,6,30,4,0,0,0
20200222,2020,2,22,2,0,0,0
20120115,2012,1,15,2,0,1,0
20150105,2015,1,5,3,0,0,0
20090614,2009,6,14,1,0,0,0
20060217,2006,2,17,2,0,0,0
20060522,2006,5,22,2,0,0,0
20130824,2013,8,24,4,0,0,0
20120828,2012,8,28,4,0,0,0
20151128,2015,11,28,3,1,0,0
20180221,2018,2,21,2,0,1,1
20181006,2018,10,6,4,0,0,0
20131110,2013,11,10,4,0,0,0
20090330,2009,3,30,3,0,0,0
20100515,2010,5,15,4,0,0,0
20100919,2010,9,19,1,0,1,0
20060926,2006,9,26,2,0,0,0
20140520,2014,5,20,1,0,0,0
20080122,2008,1,22,3,0,1,0
20101017,2010,10,17,1,0,1,0
20070712,2007,7,12,1,0,0,0
20180816,2018,8,16,2,0,0,0
20110705,2011,7,5,1,0,0,0
20190306,2019,3,6,2,0,0,0
20120206,2012,2,6,3,0,1,0
20171130,2017,11,30,3,0,0,3
20200531,2020,5,31,4,0,0,0
20191002,2019,10,2,1,0,0,0
20190927,2019,9,27,1,0,0,0
20170506,2017,5,6,1,0,0,0
20071118,2007,11,18,3,0,1,0
20160907,2016,9,7,3,0,0,0
20161012,2016,10,12,4,0,0,0
20191120,2019,11,20,1,0,0,0
20090708,2009,7,8,3,0,0,0
20091026,2009,10,26,2,0,0,0
20151031,2015,10,31,4,1,0,0
20200117,2020,1,17,2,0,0,1
20160913,2016,9,13,4,0,0,0
20170201,2017,2,1,3,0,0,0
20200709,2020,7,9,4,0,0,0
20190612,2019,6,12,3,0,0,0
20170103,2017,1,3,4,0,0,0
20100223,2010,2,23,3,1,0,0
20150819,2015,8,19,2,1,0,0
20190306,2019,3,6,1,0,0,1
20200207,2020,2,7,4,0,0,0
20190823,2019,8,23,1,0,0,0
20130619,2013,6,19,3,0,0,0
20090827,2009,8,27,2,0,0,0
20060228,2006,2,28,3,0,0,0
20110917,2011,9,17,4,0,0,0
20120110,2012,1,10,2,0,1,0
20081123,2008,11,23,4,0,0,0
20181208,2018,12,8,4,0,0,0
20190921,2019,9,21,4,0,0,0
20131214,2013,12,14,3,0,0,0
20070212,2007,2,12,3,0,0,0
20090214,2009,2,14,2,1,0,0
20110525,2011,5,25,2,0,0,0
20060617,2006,6,17,2,0,0,0
20131125,2013,11,25,2,0,0,1
20180608,2018,6,8,3,0,0,1
20160915,2016,9,15,2,0,0,0
20060626,2006,6,26,4,0,0,0
20180414,2018,4,14,3,0,0,0
20071015,2007,10,15,2,0,1,0
20160714,2016,7,14,3,0,0,0
20061208,2006,12,8,3,1,0,2
20090917,2009,9,17,3,0,0,0
20100909,2010,9,9,3,0,1,0
20090912,2009,9,12,2,0,0,0
20060420,2006,4,20,3,0,0,0
20081124,2008,11,24,4,0,0,0
20080727,2008,7,27,3,0,0,0
20080907,2008,9,7,2,0,0,0
20160531,2016,5,31,1,0,0,0
20080527,2008,5,27,3,0,0,0
20190615,2019,6,15,1,0,0,0
20130704,2013,7,4,4,0,0,0
20110309,2011,3,9,1,0,1,1
20140129,2014,1,29,1,0,0,0
20170203,2017,2,3,1,0,0,0
20190320,2019,3,20,3,0,0,0
20151101,2015,11,1,4,1,0,0
20150214,2015,2,14,1,0,0,0
20160713,2016,7,13,1,0,0,0
20160305,2016,3,5,3,1,0,0
20100926,2010,9,26,1,0,1,0
20140710,2014,7,10,4,0,0,0
20130619,2013,6,19,2,0,0,0
20140513,2014,5,13,3,0,0,0
20151205,2015,12,5,2,1,0,0
20161017,2016,10,17,1,0,0,0
20171005,2017,10,5,2,0,0,2
20070320,2007,3,20,4,0,0,0
20121018,2012,10,18,2,0,0,0
20091024,2009,10,24,4,0,0,0
20161029,2016,10,29,2,0,0,0
20140127,2014,1,27,1,0,0,0
20150507,2015,5,7,1,1,0,0
20151218,2015,12,18,2,1,0,0
20170803,2017,8,3,2,0,0,0
20180724,2018,7,24,3,0,0,0
20190430,2019,4,30,2,0,0,0
20150906,2015,9,6,3,1,0,0
20110124,2011,1,24,2,0,1,0
20130326,2013,3,26,3,0,0,0
20060517,2006,5,17,1,0,0,0
20130325,2013,3,25,3,0,0,0
20100528,2010,5,28,1,0,0,0
20190526,2019,5,26,2,0,0,0
20090912,2009,9,12,3,0,0,0
20101001,2010,10,1,4,0,1,0
20170403,2017,4,3,2,0,0,0
20190821,2019,8,21,2,0,0,0
20191230,2019,12,30,4,0,0,0
20080330,2008,3,30,4,0,0,0
20150513,2015,5,13,4,1,0,0
20140106,2014,1,6,2,0,0,0
20131120,2013,11,20,1,0,0,0
